"N","min(qtot)","q1(qtot)","med(qtot)","q3(qtot)","max(qtot)","avg(qtot)","std(qtot)","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(T_ini)","q1(T_ini)","med(T_ini)","q3(T_ini)","max(T_ini)","avg(T_ini)","std(T_ini)","min(dz)","q1(dz)","med(dz)","q3(dz)","max(dz)","avg(dz)","std(dz)","min(Result)","q1(Result)","med(Result)","q3(Result)","max(Result)","avg(Result)","std(Result)","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,1,1,1,1,1,1,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17389,17389,17389,17389,17389,17389,0,5009.4,5009.4,5009.4,5009.4,5009.4,5009.4,0,3041.1,3041.1,3041.1,3041.1,3041.1,3041.1,0,1,0
1,0.99996,0.99996,0.99996,0.99996,0.99996,0.99996,0,1.3553e+12,1.3553e+12,1.3553e+12,1.3553e+12,1.3553e+12,1.3553e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.3136e+09,-7.3136e+09,-7.3136e+09,-7.3136e+09,-7.3136e+09,-7.3136e+09,0,-1.0759e+09,-1.0759e+09,-1.0759e+09,-1.0759e+09,-1.0759e+09,-1.0759e+09,0,0,0,0,0,0,0,0,17389,17389,17389,17389,17389,17389,0,5009.2,5009.2,5009.2,5009.2,5009.2,5009.2,0,3040.9,3040.9,3040.9,3040.9,3040.9,3040.9,0,1,1
1,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0,1.3543e+12,1.3543e+12,1.3543e+12,1.3543e+12,1.3543e+12,1.3543e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.8288e+10,-1.8288e+10,-1.8288e+10,-1.8288e+10,-1.8288e+10,-1.8288e+10,0,-2.1041e+09,-2.1041e+09,-2.1041e+09,-2.1041e+09,-2.1041e+09,-2.1041e+09,0,0,0,0,0,0,0,0,17388,17388,17388,17388,17388,17388,0,5008.9,5008.9,5008.9,5008.9,5008.9,5008.9,0,3040.6,3040.6,3040.6,3040.6,3040.6,3040.6,0,1,2
1,0.99983,0.99983,0.99983,0.99983,0.99983,0.99983,0,1.3534e+12,1.3534e+12,1.3534e+12,1.3534e+12,1.3534e+12,1.3534e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-3.2642e+10,-3.2642e+10,-3.2642e+10,-3.2642e+10,-3.2642e+10,-3.2642e+10,0,-3.0337e+09,-3.0337e+09,-3.0337e+09,-3.0337e+09,-3.0337e+09,-3.0337e+09,0,0,0,0,0,0,0,0,17388,17388,17388,17388,17388,17388,0,5008.5,5008.5,5008.5,5008.5,5008.5,5008.5,0,3040.2,3040.2,3040.2,3040.2,3040.2,3040.2,0,1,3
1,0.99974,0.99974,0.99974,0.99974,0.99974,0.99974,0,1.3526e+12,1.3526e+12,1.3526e+12,1.3526e+12,1.3526e+12,1.3526e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-5.0057e+10,-5.0057e+10,-5.0057e+10,-5.0057e+10,-5.0057e+10,-5.0057e+10,0,-3.8618e+09,-3.8618e+09,-3.8618e+09,-3.8618e+09,-3.8618e+09,-3.8618e+09,0,0,0,0,0,0,0,0,17388,17388,17388,17388,17388,17388,0,5007.9,5007.9,5007.9,5007.9,5007.9,5007.9,0,3039.7,3039.7,3039.7,3039.7,3039.7,3039.7,0,1,4
1,0.99964,0.99964,0.99964,0.99964,0.99964,0.99964,0,1.3518e+12,1.3518e+12,1.3518e+12,1.3518e+12,1.3518e+12,1.3518e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.0289e+10,-7.0289e+10,-7.0289e+10,-7.0289e+10,-7.0289e+10,-7.0289e+10,0,-4.5898e+09,-4.5898e+09,-4.5898e+09,-4.5898e+09,-4.5898e+09,-4.5898e+09,0,0,0,0,0,0,0,0,17388,17388,17388,17388,17388,17388,0,5007.2,5007.2,5007.2,5007.2,5007.2,5007.2,0,3039.2,3039.2,3039.2,3039.2,3039.2,3039.2,0,1,5
1,0.99952,0.99952,0.99952,0.99952,0.99952,0.99952,0,1.3512e+12,1.3512e+12,1.3512e+12,1.3512e+12,1.3512e+12,1.3512e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-9.3141e+10,-9.3141e+10,-9.3141e+10,-9.3141e+10,-9.3141e+10,-9.3141e+10,0,-5.2202e+09,-5.2202e+09,-5.2202e+09,-5.2202e+09,-5.2202e+09,-5.2202e+09,0,0,0,0,0,0,0,0,17387,17387,17387,17387,17387,17387,0,5006.4,5006.4,5006.4,5006.4,5006.4,5006.4,0,3038.6,3038.6,3038.6,3038.6,3038.6,3038.6,0,1,6
1,0.9994,0.9994,0.9994,0.9994,0.9994,0.9994,0,1.3507e+12,1.3507e+12,1.3507e+12,1.3507e+12,1.3507e+12,1.3507e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.1847e+11,-1.1847e+11,-1.1847e+11,-1.1847e+11,-1.1847e+11,-1.1847e+11,0,-5.7561e+09,-5.7561e+09,-5.7561e+09,-5.7561e+09,-5.7561e+09,-5.7561e+09,0,0,0,0,0,0,0,0,17387,17387,17387,17387,17387,17387,0,5005.5,5005.5,5005.5,5005.5,5005.5,5005.5,0,3037.9,3037.9,3037.9,3037.9,3037.9,3037.9,0,1,7
1,0.99926,0.99926,0.99926,0.99926,0.99926,0.99926,0,1.3502e+12,1.3502e+12,1.3502e+12,1.3502e+12,1.3502e+12,1.3502e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.4614e+11,-1.4614e+11,-1.4614e+11,-1.4614e+11,-1.4614e+11,-1.4614e+11,0,-6.201e+09,-6.201e+09,-6.201e+09,-6.201e+09,-6.201e+09,-6.201e+09,0,0,0,0,0,0,0,0,17386,17386,17386,17386,17386,17386,0,5004.6,5004.6,5004.6,5004.6,5004.6,5004.6,0,3037.2,3037.2,3037.2,3037.2,3037.2,3037.2,0,1,8
1,0.99912,0.99912,0.99912,0.99912,0.99912,0.99912,0,1.3499e+12,1.3499e+12,1.3499e+12,1.3499e+12,1.3499e+12,1.3499e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.7606e+11,-1.7606e+11,-1.7606e+11,-1.7606e+11,-1.7606e+11,-1.7606e+11,0,-6.5584e+09,-6.5584e+09,-6.5584e+09,-6.5584e+09,-6.5584e+09,-6.5584e+09,0,0,0,0,0,0,0,0,17386,17386,17386,17386,17386,17386,0,5003.5,5003.5,5003.5,5003.5,5003.5,5003.5,0,3036.5,3036.5,3036.5,3036.5,3036.5,3036.5,0,1,9
1,0.99896,0.99896,0.99896,0.99896,0.99896,0.99896,0,1.3496e+12,1.3496e+12,1.3496e+12,1.3496e+12,1.3496e+12,1.3496e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-2.0813e+11,-2.0813e+11,-2.0813e+11,-2.0813e+11,-2.0813e+11,-2.0813e+11,0,-6.8317e+09,-6.8317e+09,-6.8317e+09,-6.8317e+09,-6.8317e+09,-6.8317e+09,0,0,0,0,0,0,0,0,17385,17385,17385,17385,17385,17385,0,5002.3,5002.3,5002.3,5002.3,5002.3,5002.3,0,3035.7,3035.7,3035.7,3035.7,3035.7,3035.7,0,1,10
1,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0,1.3494e+12,1.3494e+12,1.3494e+12,1.3494e+12,1.3494e+12,1.3494e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-2.4229e+11,-2.4229e+11,-2.4229e+11,-2.4229e+11,-2.4229e+11,-2.4229e+11,0,-7.024e+09,-7.024e+09,-7.024e+09,-7.024e+09,-7.024e+09,-7.024e+09,0,0,0,0,0,0,0,0,17385,17385,17385,17385,17385,17385,0,5001,5001,5001,5001,5001,5001,0,3034.8,3034.8,3034.8,3034.8,3034.8,3034.8,0,1,11
1,0.99863,0.99863,0.99863,0.99863,0.99863,0.99863,0,1.3493e+12,1.3493e+12,1.3493e+12,1.3493e+12,1.3493e+12,1.3493e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-2.7848e+11,-2.7848e+11,-2.7848e+11,-2.7848e+11,-2.7848e+11,-2.7848e+11,0,-7.1385e+09,-7.1385e+09,-7.1385e+09,-7.1385e+09,-7.1385e+09,-7.1385e+09,0,0,0,0,0,0,0,0,17384,17384,17384,17384,17384,17384,0,4999.7,4999.7,4999.7,4999.7,4999.7,4999.7,0,3033.9,3033.9,3033.9,3033.9,3033.9,3033.9,0,1,12
1,0.99846,0.99846,0.99846,0.99846,0.99846,0.99846,0,1.3492e+12,1.3492e+12,1.3492e+12,1.3492e+12,1.3492e+12,1.3492e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-3.1662e+11,-3.1662e+11,-3.1662e+11,-3.1662e+11,-3.1662e+11,-3.1662e+11,0,-7.178e+09,-7.178e+09,-7.178e+09,-7.178e+09,-7.178e+09,-7.178e+09,0,0,0,0,0,0,0,0,17383,17383,17383,17383,17383,17383,0,4998.2,4998.2,4998.2,4998.2,4998.2,4998.2,0,3033,3033,3033,3033,3033,3033,0,1,13
1,0.99828,0.99828,0.99828,0.99828,0.99828,0.99828,0,1.3493e+12,1.3493e+12,1.3493e+12,1.3493e+12,1.3493e+12,1.3493e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-3.5669e+11,-3.5669e+11,-3.5669e+11,-3.5669e+11,-3.5669e+11,-3.5669e+11,0,-7.1451e+09,-7.1451e+09,-7.1451e+09,-7.1451e+09,-7.1451e+09,-7.1451e+09,0,0,0,0,0,0,0,0,17382,17382,17382,17382,17382,17382,0,4996.7,4996.7,4996.7,4996.7,4996.7,4996.7,0,3032,3032,3032,3032,3032,3032,0,1,14
1,0.99809,0.99809,0.99809,0.99809,0.99809,0.99809,0,1.3494e+12,1.3494e+12,1.3494e+12,1.3494e+12,1.3494e+12,1.3494e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-3.9862e+11,-3.9862e+11,-3.9862e+11,-3.9862e+11,-3.9862e+11,-3.9862e+11,0,-7.0425e+09,-7.0425e+09,-7.0425e+09,-7.0425e+09,-7.0425e+09,-7.0425e+09,0,0,0,0,0,0,0,0,17382,17382,17382,17382,17382,17382,0,4995.1,4995.1,4995.1,4995.1,4995.1,4995.1,0,3031,3031,3031,3031,3031,3031,0,1,15
1,0.9979,0.9979,0.9979,0.9979,0.9979,0.9979,0,1.3495e+12,1.3495e+12,1.3495e+12,1.3495e+12,1.3495e+12,1.3495e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-4.4237e+11,-4.4237e+11,-4.4237e+11,-4.4237e+11,-4.4237e+11,-4.4237e+11,0,-6.8724e+09,-6.8724e+09,-6.8724e+09,-6.8724e+09,-6.8724e+09,-6.8724e+09,0,0,0,0,0,0,0,0,17381,17381,17381,17381,17381,17381,0,4993.4,4993.4,4993.4,4993.4,4993.4,4993.4,0,3029.9,3029.9,3029.9,3029.9,3029.9,3029.9,0,1,16
1,0.99771,0.99771,0.99771,0.99771,0.99771,0.99771,0,1.3498e+12,1.3498e+12,1.3498e+12,1.3498e+12,1.3498e+12,1.3498e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-4.8792e+11,-4.8792e+11,-4.8792e+11,-4.8792e+11,-4.8792e+11,-4.8792e+11,0,-6.637e+09,-6.637e+09,-6.637e+09,-6.637e+09,-6.637e+09,-6.637e+09,0,0,0,0,0,0,0,0,17380,17380,17380,17380,17380,17380,0,4991.6,4991.6,4991.6,4991.6,4991.6,4991.6,0,3028.9,3028.9,3028.9,3028.9,3028.9,3028.9,0,1,17
1,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0,1.3501e+12,1.3501e+12,1.3501e+12,1.3501e+12,1.3501e+12,1.3501e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-5.3523e+11,-5.3523e+11,-5.3523e+11,-5.3523e+11,-5.3523e+11,-5.3523e+11,0,-6.3383e+09,-6.3383e+09,-6.3383e+09,-6.3383e+09,-6.3383e+09,-6.3383e+09,0,0,0,0,0,0,0,0,17379,17379,17379,17379,17379,17379,0,4989.8,4989.8,4989.8,4989.8,4989.8,4989.8,0,3027.8,3027.8,3027.8,3027.8,3027.8,3027.8,0,1,18
1,0.99731,0.99731,0.99731,0.99731,0.99731,0.99731,0,1.3504e+12,1.3504e+12,1.3504e+12,1.3504e+12,1.3504e+12,1.3504e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-5.8431e+11,-5.8431e+11,-5.8431e+11,-5.8431e+11,-5.8431e+11,-5.8431e+11,0,-5.9781e+09,-5.9781e+09,-5.9781e+09,-5.9781e+09,-5.9781e+09,-5.9781e+09,0,0,0,0,0,0,0,0,17378,17378,17378,17378,17378,17378,0,4987.9,4987.9,4987.9,4987.9,4987.9,4987.9,0,3026.6,3026.6,3026.6,3026.6,3026.6,3026.6,0,1,19
1,0.9971,0.9971,0.9971,0.9971,0.9971,0.9971,0,1.3509e+12,1.3509e+12,1.3509e+12,1.3509e+12,1.3509e+12,1.3509e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.351e+11,-6.351e+11,-6.351e+11,-6.351e+11,-6.351e+11,-6.351e+11,0,-5.5583e+09,-5.5583e+09,-5.5583e+09,-5.5583e+09,-5.5583e+09,-5.5583e+09,0,0,0,0,0,0,0,0,17377,17377,17377,17377,17377,17377,0,4985.9,4985.9,4985.9,4985.9,4985.9,4985.9,0,3025.5,3025.5,3025.5,3025.5,3025.5,3025.5,0,1,20
1,0.9969,0.9969,0.9969,0.9969,0.9969,0.9969,0,1.3513e+12,1.3513e+12,1.3513e+12,1.3513e+12,1.3513e+12,1.3513e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.8756e+11,-6.8756e+11,-6.8756e+11,-6.8756e+11,-6.8756e+11,-6.8756e+11,0,-5.0806e+09,-5.0806e+09,-5.0806e+09,-5.0806e+09,-5.0806e+09,-5.0806e+09,0,0,0,0,0,0,0,0,17376,17376,17376,17376,17376,17376,0,4983.8,4983.8,4983.8,4983.8,4983.8,4983.8,0,3024.3,3024.3,3024.3,3024.3,3024.3,3024.3,0,1,21
1,0.99669,0.99669,0.99669,0.99669,0.99669,0.99669,0,1.3519e+12,1.3519e+12,1.3519e+12,1.3519e+12,1.3519e+12,1.3519e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.4163e+11,-7.4163e+11,-7.4163e+11,-7.4163e+11,-7.4163e+11,-7.4163e+11,0,-4.5462e+09,-4.5462e+09,-4.5462e+09,-4.5462e+09,-4.5462e+09,-4.5462e+09,0,0,0,0,0,0,0,0,17375,17375,17375,17375,17375,17375,0,4981.7,4981.7,4981.7,4981.7,4981.7,4981.7,0,3023.1,3023.1,3023.1,3023.1,3023.1,3023.1,0,1,22
1,0.99648,0.99648,0.99648,0.99648,0.99648,0.99648,0,1.3525e+12,1.3525e+12,1.3525e+12,1.3525e+12,1.3525e+12,1.3525e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.9731e+11,-7.9731e+11,-7.9731e+11,-7.9731e+11,-7.9731e+11,-7.9731e+11,0,-3.9569e+09,-3.9569e+09,-3.9569e+09,-3.9569e+09,-3.9569e+09,-3.9569e+09,0,0,0,0,0,0,0,0,17374,17374,17374,17374,17374,17374,0,4979.5,4979.5,4979.5,4979.5,4979.5,4979.5,0,3021.9,3021.9,3021.9,3021.9,3021.9,3021.9,0,1,23
1,0.99627,0.99627,0.99627,0.99627,0.99627,0.99627,0,1.3531e+12,1.3531e+12,1.3531e+12,1.3531e+12,1.3531e+12,1.3531e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-8.5458e+11,-8.5458e+11,-8.5458e+11,-8.5458e+11,-8.5458e+11,-8.5458e+11,0,-3.3139e+09,-3.3139e+09,-3.3139e+09,-3.3139e+09,-3.3139e+09,-3.3139e+09,0,0,0,0,0,0,0,0,17373,17373,17373,17373,17373,17373,0,4977.2,4977.2,4977.2,4977.2,4977.2,4977.2,0,3020.7,3020.7,3020.7,3020.7,3020.7,3020.7,0,1,24
1,0.99607,0.99607,0.99607,0.99607,0.99607,0.99607,0,1.3538e+12,1.3538e+12,1.3538e+12,1.3538e+12,1.3538e+12,1.3538e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-9.1339e+11,-9.1339e+11,-9.1339e+11,-9.1339e+11,-9.1339e+11,-9.1339e+11,0,-2.6185e+09,-2.6185e+09,-2.6185e+09,-2.6185e+09,-2.6185e+09,-2.6185e+09,0,0,0,0,0,0,0,0,17371,17371,17371,17371,17371,17371,0,4974.9,4974.9,4974.9,4974.9,4974.9,4974.9,0,3019.4,3019.4,3019.4,3019.4,3019.4,3019.4,0,1,25
1,0.99586,0.99586,0.99586,0.99586,0.99586,0.99586,0,1.3545e+12,1.3545e+12,1.3545e+12,1.3545e+12,1.3545e+12,1.3545e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-9.7375e+11,-9.7375e+11,-9.7375e+11,-9.7375e+11,-9.7375e+11,-9.7375e+11,0,-1.8719e+09,-1.8719e+09,-1.8719e+09,-1.8719e+09,-1.8719e+09,-1.8719e+09,0,0,0,0,0,0,0,0,17370,17370,17370,17370,17370,17370,0,4972.5,4972.5,4972.5,4972.5,4972.5,4972.5,0,3018.2,3018.2,3018.2,3018.2,3018.2,3018.2,0,1,26
1,0.99565,0.99565,0.99565,0.99565,0.99565,0.99565,0,1.3553e+12,1.3553e+12,1.3553e+12,1.3553e+12,1.3553e+12,1.3553e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.0356e+12,-1.0356e+12,-1.0356e+12,-1.0356e+12,-1.0356e+12,-1.0356e+12,0,-1.0752e+09,-1.0752e+09,-1.0752e+09,-1.0752e+09,-1.0752e+09,-1.0752e+09,0,0,0,0,0,0,0,0,17369,17369,17369,17369,17369,17369,0,4970,4970,4970,4970,4970,4970,0,3016.9,3016.9,3016.9,3016.9,3016.9,3016.9,0,1,27
1,0.99545,0.99545,0.99545,0.99545,0.99545,0.99545,0,1.3562e+12,1.3562e+12,1.3562e+12,1.3562e+12,1.3562e+12,1.3562e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.0989e+12,-1.0989e+12,-1.0989e+12,-1.0989e+12,-1.0989e+12,-1.0989e+12,0,-2.2958e+08,-2.2958e+08,-2.2958e+08,-2.2958e+08,-2.2958e+08,-2.2958e+08,0,0,0,0,0,0,0,0,17368,17368,17368,17368,17368,17368,0,4967.5,4967.5,4967.5,4967.5,4967.5,4967.5,0,3015.7,3015.7,3015.7,3015.7,3015.7,3015.7,0,1,28
1,0.99524,0.99524,0.99524,0.99524,0.99524,0.99524,0,1.3571e+12,1.3571e+12,1.3571e+12,1.3571e+12,1.3571e+12,1.3571e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.1637e+12,-1.1637e+12,-1.1637e+12,-1.1637e+12,-1.1637e+12,-1.1637e+12,0,6.641e+08,6.641e+08,6.641e+08,6.641e+08,6.641e+08,6.641e+08,0,0,0,0,0,0,0,0,17366,17366,17366,17366,17366,17366,0,4964.9,4964.9,4964.9,4964.9,4964.9,4964.9,0,3014.4,3014.4,3014.4,3014.4,3014.4,3014.4,0,1,29
1,0.99504,0.99504,0.99504,0.99504,0.99504,0.99504,0,1.358e+12,1.358e+12,1.358e+12,1.358e+12,1.358e+12,1.358e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.23e+12,-1.23e+12,-1.23e+12,-1.23e+12,-1.23e+12,-1.23e+12,0,1.6049e+09,1.6049e+09,1.6049e+09,1.6049e+09,1.6049e+09,1.6049e+09,0,0,0,0,0,0,0,0,17365,17365,17365,17365,17365,17365,0,4962.3,4962.3,4962.3,4962.3,4962.3,4962.3,0,3013.1,3013.1,3013.1,3013.1,3013.1,3013.1,0,1,30
1,0.99484,0.99484,0.99484,0.99484,0.99484,0.99484,0,1.359e+12,1.359e+12,1.359e+12,1.359e+12,1.359e+12,1.359e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.2977e+12,-1.2977e+12,-1.2977e+12,-1.2977e+12,-1.2977e+12,-1.2977e+12,0,2.5689e+09,2.5689e+09,2.5689e+09,2.5689e+09,2.5689e+09,2.5689e+09,0,0,0,0,0,0,0,0,17364,17364,17364,17364,17364,17364,0,4959.6,4959.6,4959.6,4959.6,4959.6,4959.6,0,3011.8,3011.8,3011.8,3011.8,3011.8,3011.8,0,1,31
1,0.99465,0.99465,0.99465,0.99465,0.99465,0.99465,0,1.3599e+12,1.3599e+12,1.3599e+12,1.3599e+12,1.3599e+12,1.3599e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.3668e+12,-1.3668e+12,-1.3668e+12,-1.3668e+12,-1.3668e+12,-1.3668e+12,0,3.5062e+09,3.5062e+09,3.5062e+09,3.5062e+09,3.5062e+09,3.5062e+09,0,0,0,0,0,0,0,0,17362,17362,17362,17362,17362,17362,0,4956.9,4956.9,4956.9,4956.9,4956.9,4956.9,0,3010.5,3010.5,3010.5,3010.5,3010.5,3010.5,0,1,32
1,0.99445,0.99445,0.99445,0.99445,0.99445,0.99445,0,1.3608e+12,1.3608e+12,1.3608e+12,1.3608e+12,1.3608e+12,1.3608e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.4373e+12,-1.4373e+12,-1.4373e+12,-1.4373e+12,-1.4373e+12,-1.4373e+12,0,4.4142e+09,4.4142e+09,4.4142e+09,4.4142e+09,4.4142e+09,4.4142e+09,0,0,0,0,0,0,0,0,17361,17361,17361,17361,17361,17361,0,4954.1,4954.1,4954.1,4954.1,4954.1,4954.1,0,3009.2,3009.2,3009.2,3009.2,3009.2,3009.2,0,1,33
1,0.99427,0.99427,0.99427,0.99427,0.99427,0.99427,0,1.3617e+12,1.3617e+12,1.3617e+12,1.3617e+12,1.3617e+12,1.3617e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.5092e+12,-1.5092e+12,-1.5092e+12,-1.5092e+12,-1.5092e+12,-1.5092e+12,0,5.2934e+09,5.2934e+09,5.2934e+09,5.2934e+09,5.2934e+09,5.2934e+09,0,0,0,0,0,0,0,0,17359,17359,17359,17359,17359,17359,0,4951.3,4951.3,4951.3,4951.3,4951.3,4951.3,0,3007.9,3007.9,3007.9,3007.9,3007.9,3007.9,0,1,34
1,0.99408,0.99408,0.99408,0.99408,0.99408,0.99408,0,1.3626e+12,1.3626e+12,1.3626e+12,1.3626e+12,1.3626e+12,1.3626e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.5824e+12,-1.5824e+12,-1.5824e+12,-1.5824e+12,-1.5824e+12,-1.5824e+12,0,6.1447e+09,6.1447e+09,6.1447e+09,6.1447e+09,6.1447e+09,6.1447e+09,0,0,0,0,0,0,0,0,17358,17358,17358,17358,17358,17358,0,4948.5,4948.5,4948.5,4948.5,4948.5,4948.5,0,3006.7,3006.7,3006.7,3006.7,3006.7,3006.7,0,1,35
1,0.9939,0.9939,0.9939,0.9939,0.9939,0.9939,0,1.3634e+12,1.3634e+12,1.3634e+12,1.3634e+12,1.3634e+12,1.3634e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.6569e+12,-1.6569e+12,-1.6569e+12,-1.6569e+12,-1.6569e+12,-1.6569e+12,0,6.9694e+09,6.9694e+09,6.9694e+09,6.9694e+09,6.9694e+09,6.9694e+09,0,0,0,0,0,0,0,0,17356,17356,17356,17356,17356,17356,0,4945.5,4945.5,4945.5,4945.5,4945.5,4945.5,0,3005.4,3005.4,3005.4,3005.4,3005.4,3005.4,0,1,36
1,0.99373,0.99373,0.99373,0.99373,0.99373,0.99373,0,1.3642e+12,1.3642e+12,1.3642e+12,1.3642e+12,1.3642e+12,1.3642e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.7329e+12,-1.7329e+12,-1.7329e+12,-1.7329e+12,-1.7329e+12,-1.7329e+12,0,7.7689e+09,7.7689e+09,7.7689e+09,7.7689e+09,7.7689e+09,7.7689e+09,0,0,0,0,0,0,0,0,17355,17355,17355,17355,17355,17355,0,4942.6,4942.6,4942.6,4942.6,4942.6,4942.6,0,3004.1,3004.1,3004.1,3004.1,3004.1,3004.1,0,1,37
1,0.99356,0.99356,0.99356,0.99356,0.99356,0.99356,0,1.365e+12,1.365e+12,1.365e+12,1.365e+12,1.365e+12,1.365e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-1.8101e+12,-1.8101e+12,-1.8101e+12,-1.8101e+12,-1.8101e+12,-1.8101e+12,0,8.5446e+09,8.5446e+09,8.5446e+09,8.5446e+09,8.5446e+09,8.5446e+09,0,0,0,0,0,0,0,0,17353,17353,17353,17353,17353,17353,0,4939.6,4939.6,4939.6,4939.6,4939.6,4939.6,0,3002.8,3002.8,3002.8,3002.8,3002.8,3002.8,0,1,38
